Date,Year,Month,Day,Mean Temp (°C),Min Temp (°C),Max Temp (°C),Total Precip (mm),Spd of Max Gust (km/h)
15/08/2020,2020,8,15,22.5,20,25,1,35.2
16/08/2020,2020,8,16,23,21,25.2,1,44.5
17/08/2020,2020,8,17,22.8,19,25.2,1,38.9
18/08/2020,2020,8,18,22.8,20,25.4,1,42.6
19/08/2020,2020,8,19,22.9,21.7,26,1,44.5
20/08/2020,2020,8,20,22.5,20,25.5,1,35.2
21/08/2020,2020,8,21,21.8,16.7,25,1,29.6
22/08/2020,2020,8,22,22.4,20,25,1,31.5
23/08/2020,2020,8,23,22.5,21,25,1,35.2
24/08/2020,2020,8,24,22.6,21,24.4,1,38.9
25/08/2020,2020,8,25,22.6,21,25.6,1,35.2
26/08/2020,2020,8,26,22.2,20,25,1,35.2
27/08/2020,2020,8,27,22.3,18.6,25,1,35.2
28/08/2020,2020,8,28,22.3,19.4,25.4,1,31.5
29/08/2020,2020,8,29,22.1,21,24,1,38.9
30/08/2020,2020,8,30,22.4,21,25,1,42.6
31/08/2020,2020,8,31,22.2,20,24.6,1,44.5
09/01/2020,2020,9,1,22.4,19,25,1,40.8
09/02/2020,2020,9,2,22.4,20,25,1,31.5
09/03/2020,2020,9,3,22.1,20,25.4,1,33.3
09/04/2020,2020,9,4,20.5,18,24,1,46.3
09/05/2020,2020,9,5,21.2,19,24,1,40.8
09/06/2020,2020,9,6,22.1,17.7,26,1,31.5
09/07/2020,2020,9,7,22,19,25.6,1,33.3
09/08/2020,2020,9,8,23.1,21,26,1,38.9
09/09/2020,2020,9,9,22.6,21,25,1,44.5
09/10/2020,2020,9,10,22.2,21,25,1,44.5
09/11/2020,2020,9,11,22.9,21,25.5,1,42.6
09/12/2020,2020,9,12,22.6,21,25,1,33.3
13/09/2020,2020,9,13,22.2,20,25,1,31.5
14/09/2020,2020,9,14,21.6,20,23.4,1,46.3
15/09/2020,2020,9,15,20.2,18,23,1,42.6
16/09/2020,2020,9,16,21.4,18,24,1,37
17/09/2020,2020,9,17,21.7,18,25,1,38.9
18/09/2020,2020,9,18,23.1,19,26,1,37
19/09/2020,2020,9,19,22.2,19,24.5,1,38.9
20/09/2020,2020,9,20,23,21.8,25,1,38.9
21/09/2020,2020,9,21,23.2,21,26,1,42.6
22/09/2020,2020,9,22,22.6,21,25.4,1,38.9
23/09/2020,2020,9,23,22.1,17,25,1,33.3
24/09/2020,2020,9,24,21.5,17,25,1,31.5
25/09/2020,2020,9,25,22,17,26,1,31.5
26/09/2020,2020,9,26,22.5,20,26.1,1,37
27/09/2020,2020,9,27,22.2,20,25,1,37
28/09/2020,2020,9,28,23.6,21,26.4,1,35.2
29/09/2020,2020,9,29,23.6,22,26,1,35.2
30/09/2020,2020,9,30,22.9,20,26,1,37
10/01/2020,2020,10,1,22.4,18,27,1,27.8
10/02/2020,2020,10,2,22.3,18,26.4,1,25.9
10/03/2020,2020,10,3,22.5,17,27.5,1,29.6
10/04/2020,2020,10,4,23.9,21,28.5,0,29.6
10/05/2020,2020,10,5,22.3,21,23.9,0,33.3
10/06/2020,2020,10,6,23.3,21,26,0,33.3
10/07/2020,2020,10,7,23.8,20,27.9,1,33.3
10/08/2020,2020,10,8,25,23,28.3,1,44.5
10/09/2020,2020,10,9,24.8,23,28,1,38.9
10/10/2020,2020,10,10,24.4,22,27.5,1,33.3
10/11/2020,2020,10,11,24.3,21.8,27.1,1,31.5
10/12/2020,2020,10,12,23.7,22,26.5,1,35.2
13/10/2020,2020,10,13,24,21,27,1,37
14/10/2020,2020,10,14,24.9,23,27.4,1,35.2
15/10/2020,2020,10,15,24,21,27,1,29.6
16/10/2020,2020,10,16,24,21,28,1,31.5
17/10/2020,2020,10,17,23.7,20,27,1,29.6
18/10/2020,2020,10,18,24.1,19,27.2,1,31.5
19/10/2020,2020,10,19,24.8,23,27.1,1,38.9
20/10/2020,2020,10,20,24.9,23,27.1,1,38.9
21/10/2020,2020,10,21,24.8,23,27.5,1,38.9
22/10/2020,2020,10,22,24.9,22,27.4,1,37
23/10/2020,2020,10,23,24.4,22,27,1,35.2
24/10/2020,2020,10,24,24.2,23,27,1,37
25/10/2020,2020,10,25,23.6,21,26,1,38.9
26/10/2020,2020,10,26,24.4,22,27,1,40.8
27/10/2020,2020,10,27,24.3,21,27.4,1,33.3
28/10/2020,2020,10,28,23.9,20,28,1,27.8
29/10/2020,2020,10,29,23.3,21,26.6,1,44.5
30/10/2020,2020,10,30,22.5,20.6,25.5,1,50
31/10/2020,2020,10,31,21.7,20,25,1,44.5
11/01/2020,2020,11,1,22.3,19,26,1,40.8
11/02/2020,2020,11,2,22.5,18,25.2,1,33.3
11/03/2020,2020,11,3,22.9,21,25.2,1,33.3
11/04/2020,2020,11,4,23.3,20,26.4,1,35.2
11/05/2020,2020,11,5,23.9,21,27,1,33.3
11/06/2020,2020,11,6,24.1,22,27,1,37
11/07/2020,2020,11,7,23.6,19,27.1,1,35.2
11/08/2020,2020,11,8,24.5,22,27.5,1,37
11/09/2020,2020,11,9,24,22,27,1,38.9
11/10/2020,2020,11,10,24.2,22,27,1,35.2
11/11/2020,2020,11,11,24.7,22,27.2,1,37
11/12/2020,2020,11,12,24.9,21,29,1,38.9
13/11/2020,2020,11,13,25.1,21,29,1,38.9
14/11/2020,2020,11,14,23.9,22,27,1,27.8
15/11/2020,2020,11,15,23.3,22,24.7,1,35.2
16/11/2020,2020,11,16,23.4,22,26.6,1,35.2
17/11/2020,2020,11,17,23.4,22,25.2,1,33.3
18/11/2020,2020,11,18,23.3,21,26.8,0.3,33.3
19/11/2020,2020,11,19,24,22,26,0.3,33.3
20/11/2020,2020,11,20,22.5,21,24,0.3,29.6
21/11/2020,2020,11,21,23.4,19,28,1,27.8
22/11/2020,2020,11,22,24.2,20,28,1,29.6
23/11/2020,2020,11,23,24.6,23,27,1,33.3
24/11/2020,2020,11,24,24.9,23,27,1,35.2
25/11/2020,2020,11,25,25.7,24,28,1,37
26/11/2020,2020,11,26,25.4,24,28,1,38.9
27/11/2020,2020,11,27,25,23,27.4,1,37
28/11/2020,2020,11,28,24.7,23,27.4,1,37
29/11/2020,2020,11,29,25.3,23,28.4,1,35.2
30/11/2020,2020,11,30,25.7,24,28,1,40.8
12/01/2020,2020,12,1,26.2,24,28.4,1,35.2
12/02/2020,2020,12,2,26.7,24,30,1,37
12/03/2020,2020,12,3,26.8,25,30,0,37
12/04/2020,2020,12,4,26.4,23.6,29.6,0,35.2
12/05/2020,2020,12,5,26.4,22.4,30.1,0,33.3
12/06/2020,2020,12,6,26.2,23,29,0,33.3
12/07/2020,2020,12,7,27.1,24,30,0,33.3
12/08/2020,2020,12,8,26.6,23,30,1,29.6
12/09/2020,2020,12,9,24.8,23,27,1,38.9
12/10/2020,2020,12,10,24.6,23.7,26.5,1,38.9
12/11/2020,2020,12,11,25.8,24,29,1,35.2
12/12/2020,2020,12,12,25.3,23,28,1,35.2
13/12/2020,2020,12,13,25.3,23.9,28.1,1,38.9
14/12/2020,2020,12,14,25.4,24,28,1,35.2
15/12/2020,2020,12,15,25.8,24,28.5,1,38.9
16/12/2020,2020,12,16,26.6,25,29.2,1,38.9
17/12/2020,2020,12,17,25.7,23,28,1,37
18/12/2020,2020,12,18,26.1,23,29,1,37
